Date,Style,Set 1,Set 2,Set 3
2023-02-22,Glute,50,50,50
2023-02-27,Glute,50,50,50
2023-03-05,Glute,50,50,50
2023-03-10,Glute,50,50,50
2023-03-13,Glute,1,1,1
