Date,Style,Set 1,Set 2,Set 3
2023-02-22,Straight leg,60,60,60
2023-02-27,Straight leg,60,60,60
2023-03-05,Straight leg,60,60,60
2023-03-10,Straight leg,60,60,60
2023-03-24,Straight leg,60,60,60
2023-04-03,Straight leg,60,60,60
2023-04-10,Straight leg,60,60,60
2023-04-17,Straight leg,60,60,60
